Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
9/20/2017,171.49,171.49,169.97,1.23827E+11,0
9/19/2017,170.15,170.86,169.89,1.22714E+11,0
9/18/2017,170.31,170.98,168.91,1.2282E+11,0
9/15/2017,168.38,168.86,167.9,1.21373E+11,495265
9/14/2017,167.78,168.51,167.67,1.20987E+11,4581956
9/13/2017,167.88,168.46,167.57,1.2043E+11,645992
9/12/2017,167.81,168.38,167.64,1.2036E+11,0
9/11/2017,167.87,168.27,167.3,1.20396E+11,0
9/8/2017,166.39,167.37,166.33,1.19053E+11,908396
9/7/2017,167.55,168.29,167.24,1.19823E+11,2958178
9/6/2017,168.11,168.53,167.31,1.20123E+11,761655
9/5/2017,167.2,167.83,166.1,1.19505E+11,0
9/1/2017,167.76,167.76,166.8,1.19746E+11,124493
8/31/2017,166.42,167.14,165.66,1.18789E+11,8509380
8/30/2017,165.09,165.2,163.48,1.1784E+11,4781094
8/29/2017,163.34,163.37,161.87,1.16649E+11,1651648
8/28/2017,162.91,163.32,162.31,1.16325E+11,138696
8/25/2017,162.62,163.08,161.56,1.16052E+11,0
8/24/2017,162.6,162.65,161.83,1.16005E+11,0
8/23/2017,161.81,162.2,160.46,1.15391E+11,0
8/22/2017,161.41,161.41,160.35,1.14404E+11,0
8/21/2017,159.99,160.73,159.41,1.13094E+11,0
8/18/2017,160.85,161.02,159.77,1.13619E+11,609309
8/17/2017,160.32,162.34,160.23,1.14863E+11,4713010
8/16/2017,162.2,162.88,161.78,1.16209E+11,0
8/15/2017,162,162.75,161.63,1.15837E+11,576817
8/14/2017,162.07,162.07,160.8,1.15951E+11,0
8/11/2017,159.37,159.76,158.22,1.13963E+11,948211
8/10/2017,158.78,161.69,158.58,1.13454E+11,851834
8/9/2017,161.93,163.1,161.85,1.15705E+11,1367113
8/8/2017,163.93,165.87,163.73,1.16708E+11,1632451
8/7/2017,164.98,164.99,164.13,1.1744E+11,337179
8/4/2017,164.34,164.85,163.75,1.16995E+11,833283
8/3/2017,164.24,165.55,164.03,1.16777E+11,1741626
8/2/2017,164.86,167.58,164.54,1.17021E+11,2736615
8/1/2017,167.06,168.25,166.74,1.18572E+11,0
7/31/2017,167.39,169.23,167.33,1.18428E+11,0
7/28/2017,168.24,168.47,167.43,1.18926E+11,2307658
7/27/2017,168.38,171.76,167.67,1.19026E+11,15019849
7/26/2017,171.03,172.77,170.94,1.20897E+11,1242455
7/25/2017,169.92,172.09,169.92,1.2006E+11,0
7/24/2017,170.08,170.33,169.53,1.19254E+11,0
7/21/2017,169.67,170.45,169.4,1.18991E+11,0
7/20/2017,169.68,170.46,169.6,1.191E+11,4286937
7/19/2017,169.95,170.45,169.48,1.19238E+11,0
7/18/2017,169.47,169.96,169.1,1.17854E+11,199720
7/17/2017,170.65,171.68,170.39,1.18881E+11,311561
7/14/2017,171.18,171.24,170.27,1.19223E+11,609551
7/13/2017,170.48,172.32,169.66,1.18735E+11,48371
7/12/2017,172.11,172.11,171.22,1.19725E+11,1050407
7/11/2017,170.33,170.74,169.45,1.18436E+11,0
7/10/2017,169.86,170.15,168.92,1.1723E+11,0
7/7/2017,169.8,169.88,168.78,1.17639E+11,0
7/6/2017,168.23,169.85,168.1,1.16559E+11,5607878
7/5/2017,169.83,170.04,168.59,1.17669E+11,0
7/3/2017,168.99,169.36,168.44,1.17482E+11,0
6/30/2017,168.45,168.91,167.97,1.17043E+11,0
6/29/2017,168.57,169.79,167.37,1.17474E+11,696015
6/28/2017,169.54,169.58,167.18,1.17996E+11,10659956
6/27/2017,167.22,169.46,167.17,1.16038E+11,0
6/26/2017,169.33,170.06,168.74,1.17318E+11,0
6/23/2017,169.16,169.16,167.34,1.17148E+11,0
6/22/2017,167.86,168.32,166.53,1.1619E+11,1155181
6/21/2017,166.72,166.88,165.43,1.15252E+11,700397
6/20/2017,164.44,165.39,164.29,1.13603E+11,0
6/19/2017,164.13,164.32,163.31,1.13383E+11,0
6/16/2017,162.34,162.75,161.59,1.11896E+11,0
6/15/2017,162.04,162.33,161.37,1.1295E+11,0
6/14/2017,162.74,164.31,162.5,1.13435E+11,1254941
6/13/2017,164.08,164.56,163.55,1.14378E+11,3210371
6/12/2017,163.54,165.53,163.54,1.13965E+11,0
6/9/2017,165.74,167.71,164.46,1.15614E+11,0
6/8/2017,166,166.02,163.81,1.15795E+11,887133
6/7/2017,163.83,164.47,160.85,1.13938E+11,4268253
6/6/2017,159.69,160.79,157.42,1.1106E+11,0
6/5/2017,157.76,158.92,157.76,1.09415E+11,124243
6/2/2017,158.37,158.37,156.45,1.09831E+11,0
6/1/2017,156.56,156.81,154.74,1.08539E+11,9575668
5/31/2017,154.87,155.42,153.73,1.07244E+11,1070904
5/30/2017,154.29,155.76,154.29,1.07387E+11,3395423
5/26/2017,155.62,156.03,155.22,1.08542E+11,1727671
5/25/2017,155.76,156.44,155.5,1.08585E+11,0
5/24/2017,155.77,156.11,155.29,1.08392E+11,0
5/23/2017,155.41,155.7,154.64,1.08179E+11,0
5/22/2017,155.71,155.93,154.71,1.08373E+11,0
5/19/2017,155.57,156.05,155.24,1.08157E+11,2560978
5/18/2017,155,155.18,152.61,1.07758E+11,4751237
5/17/2017,153.4,157.05,153.4,1.0633E+11,0
5/16/2017,159.17,159.22,157.64,1.10198E+11,0
5/15/2017,157.16,157.48,156.71,1.08785E+11,611885
5/12/2017,156.15,156.23,155,1.08007E+11,576771
5/11/2017,155.75,156.11,154.19,1.07697E+11,5796799
5/10/2017,155.55,155.81,154.61,1.07289E+11,9652157
5/9/2017,155.13,155.33,154.62,1.06376E+11,1893759
5/8/2017,154.84,155.61,154.48,1.06307E+11,0
5/5/2017,155.51,155.51,153.86,1.06895E+11,1128720
5/4/2017,154.22,154.7,153.19,1.06014E+11,4029916
5/3/2017,154.13,154.49,153.39,1.0584E+11,2730816
5/2/2017,154.59,157.61,154.59,1.05927E+11,0
5/1/2017,160.11,160.22,159.28,1.09105E+11,0
4/28/2017,159.67,160.66,159.45,1.07641E+11,1748723
4/27/2017,160.52,161.11,160.42,1.08177E+11,9182141
4/26/2017,160.16,160.64,159.52,1.07817E+11,1967062
4/25/2017,159.94,160.12,158.96,1.07577E+11,0
4/24/2017,158.05,158.71,158.02,1.06301E+11,0
4/21/2017,156.91,157.84,156.84,1.05227E+11,0
4/20/2017,157.56,157.84,156.99,1.05636E+11,454850
4/19/2017,156.37,157.3,156.34,1.0366E+11,3770608
4/18/2017,156.21,156.36,155.41,1.03222E+11,0
4/17/2017,156.66,156.67,155.82,1.03498E+11,311561
4/13/2017,155.97,157.56,155.97,1.02954E+11,604657
4/12/2017,157.46,158.98,157.42,1.03848E+11,0
4/11/2017,159.04,159.09,157.56,1.04848E+11,899559
4/10/2017,158.58,159.78,158.54,1.04489E+11,0
4/7/2017,159.47,159.47,158.26,1.05046E+11,0
4/6/2017,159,159.36,158.1,1.04717E+11,2062040
4/5/2017,159.94,162.95,159.94,1.04613E+11,0
4/4/2017,161.44,162.79,161.13,1.05645E+11,0
4/3/2017,162.43,164.5,162.38,1.06233E+11,0
3/31/2017,164.07,165.19,163.9,1.07915E+11,694706
3/30/2017,165.59,166.36,164.68,1.08856E+11,0
3/29/2017,165.93,167.12,165.67,1.08692E+11,8214945
3/28/2017,165.63,165.88,164.62,1.07536E+11,1272151
3/27/2017,165.01,165.03,162.06,1.07098E+11,0
3/24/2017,163.32,163.94,162.81,1.06E+11,0
3/23/2017,162.82,163.59,162.38,1.05583E+11,1048639
3/22/2017,162.71,163.4,162.14,1.05486E+11,315233
3/21/2017,162.92,168.55,162.92,1.05509E+11,0
3/20/2017,168.07,168.07,165.28,1.08588E+11,1875431
3/17/2017,165.54,165.54,164.02,1.06133E+11,0
3/16/2017,164.77,165.21,164.45,1.05299E+11,0
3/15/2017,165.17,165.92,163.98,1.05267E+11,5760976
3/14/2017,164.72,165.22,163.3,1.0485E+11,1598029
3/13/2017,165.96,166.35,164.74,1.05307E+11,2384656
3/10/2017,163.82,165.27,163.68,1.04489E+11,0
3/9/2017,163.77,164.3,162.98,1.04064E+11,800122
3/8/2017,164.06,166.81,163.93,1.04241E+11,3497518
3/7/2017,164.71,166.52,164.55,1.04649E+11,0
3/6/2017,165.1,166.22,163.77,1.0487E+11,1298797
3/3/2017,166.07,166.79,165.39,1.05156E+11,0
3/2/2017,167.01,170.12,166.99,1.05839E+11,5262400
3/1/2017,170.04,170.19,169.37,1.07763E+11,311367
2/28/2017,167.36,172,167.36,1.06061E+11,0
2/27/2017,171.78,171.78,168.7,1.08849E+11,6446365
2/24/2017,168.05,168.07,166.95,1.06637E+11,3372152
2/23/2017,168.38,168.85,167.27,1.06703E+11,0
2/22/2017,168.84,169.39,168.38,1.04108E+11,0
2/21/2017,168.8,168.8,168.04,1.03763E+11,0
2/17/2017,167.22,167.26,165.84,1.02606E+11,0
2/16/2017,166.01,168.04,165.49,1.01861E+11,1015848
2/15/2017,167.1,167.51,165.86,1.02508E+11,0
2/14/2017,166.12,166.46,164.98,1.01651E+11,819033
2/13/2017,166.05,167.3,164.95,1.01333E+11,3305952
2/10/2017,164.78,167.63,164.54,1.00583E+11,0
2/9/2017,166.59,168.09,165.31,1.01616E+11,401950
2/8/2017,167.1,167.38,164.58,1.01915E+11,7667357
2/7/2017,164.5,164.63,162.59,1.00237E+11,580331
2/6/2017,163.06,164.85,162.87,99353438738,305775
2/3/2017,162.37,162.65,161.39,98932881062,0
2/2/2017,161.65,165.49,159.38,98484942298,1423244
2/1/2017,159.3,159.3,156.49,97014666419,1968116
1/31/2017,155.21,155.21,153.32,94514765168,0
1/30/2017,154.12,155.52,153.41,93819270993,2267000
1/27/2017,156.02,156.34,155.33,94975593270,3150659
1/26/2017,156.11,156.83,155.93,95027820542,12106345
1/25/2017,156.12,156.52,155.2,95009996623,0
1/24/2017,155.04,155.04,152.78,94352474258,0
1/23/2017,152.94,153.53,152.25,93074559268,0
1/20/2017,153.4,154.22,153.2,93341217225,0
1/19/2017,153.21,155.15,153.12,93095812708,4720221
1/18/2017,154.41,154.76,153.88,93680373717,0
1/17/2017,154.32,156.66,154.32,93621780221,0
1/13/2017,157.12,157.77,156.53,95312754170,233671
1/12/2017,156.7,157.59,156.02,95345435189,717190
1/11/2017,157.87,157.93,156.12,96087114904,211487
1/10/2017,157.29,157.29,155.41,96135393553,0
1/9/2017,155.5,156.09,155.22,95043304202,0
1/6/2017,155.33,156.2,155.11,94936566937,0
1/5/2017,155.72,156.53,155.18,94867039100,0
1/4/2017,156.41,156.62,154.8,95274863610,1707960
1/3/2017,154.52,154.52,152.5,94117018356,465753
12/30/2016,153,154.89,152.41,93186659984,0
12/29/2016,154.35,154.41,153.36,93910034986,3290713
12/28/2016,154,156.54,153.73,93738774365,3381694
12/27/2016,155.8,155.8,154.84,94700961962,10510584
12/23/2016,155.17,155.17,153.18,94099993369,1128306
12/22/2016,153.73,155.06,153.53,93243615178,0
12/21/2016,154.22,155.4,154.1,93158126871,895093
12/20/2016,155.03,155.04,153.73,93642327787,0
12/19/2016,153.06,153.16,151.88,92383154141,0
12/16/2016,152.49,152.49,150.12,92092194232,0
12/15/2016,151.36,152.06,150.14,91408128526,0
12/14/2016,149.67,150.22,149.07,90385502738,2605230
12/13/2016,150.28,151.74,150.14,90691399585,1552534
12/12/2016,151.18,153.41,150.87,91233372321,0
12/9/2016,152.94,154.5,151.4,92299694078,730750
12/8/2016,153.45,153.81,151.47,92491679403,328937
12/7/2016,151.37,151.85,150.11,91151652191,1799556
12/6/2016,151.38,151.66,149.25,91166359289,5630781
12/5/2016,148.89,148.89,146.46,89650570095,98341
12/2/2016,146.42,146.71,144.94,88164683875,0
12/1/2016,145.23,147.9,144.54,87325355392,5165250
11/30/2016,147.54,148.79,147.3,88687626210,549328
11/29/2016,147.77,148.72,147.38,88645138378,3367586
11/28/2016,148.18,150.45,148.12,88918451457,2362046
11/25/2016,149.52,149.52,147.61,89696681007,0
11/23/2016,148.09,148.09,145.64,87075251376,606693
11/22/2016,147.16,147.57,146.08,86300254373,0
11/21/2016,147.13,147.36,146.13,86476212320,3173354
11/18/2016,145.55,146.62,143.35,84976226235,0
11/17/2016,146,146.64,144.77,85233961137,5116223
11/16/2016,143.65,146.09,140.91,83758743883,3044939
11/15/2016,140.9,140.97,139.33,81823851567,0
11/14/2016,139.59,139.86,138.88,82220228761,448506
11/11/2016,138.81,138.81,135.17,81792413757,0
11/10/2016,135.13,135.53,133.25,79496386277,4268301
11/9/2016,134.11,134.11,130.37,78899141348,152132
11/8/2016,131.67,131.74,130.25,77412747432,7169508
11/7/2016,130.77,130.88,129.68,76833410865,745278
11/4/2016,128.07,129.1,127.64,75240289139,0
11/3/2016,127.77,129.95,127.77,75064007039,1397428
11/2/2016,129.9,131.62,129.84,76314465210,2684076
11/1/2016,131.74,133.38,131.25,77968633267,0
10/31/2016,132.88,133.52,132.83,78638477112,0
10/28/2016,133.05,133.93,132.97,79256092462,3559272
10/27/2016,133.42,135.38,133.35,79461988292,13310111
10/26/2016,134.44,135.77,134.44,80053498944,128161
10/25/2016,136.32,137.31,136.32,81447763574,0
10/24/2016,137.22,137.5,136.93,81983073692,0
10/21/2016,136.35,136.42,135.57,81460587130,0
10/20/2016,137.07,137.23,136.34,81833415649,454467
10/19/2016,136.49,136.56,135.81,81463796898,3751875
10/18/2016,136.47,136.9,136.29,81427357983,0
10/17/2016,135.84,136.83,135.79,81016762207,233671
10/14/2016,136.4,137.83,136.23,81352132199,481643
10/13/2016,136.25,137,136.14,81134669159,0
10/12/2016,137.81,138.65,137.71,81917673640,765352
10/11/2016,138.42,140.73,138.17,82192110982,0
10/10/2016,140.95,141,140.01,83693631344,0
10/7/2016,139.49,140.36,138.82,82817993930,0
10/6/2016,140.16,140.34,139.49,83223120703,796451
10/5/2016,140.64,141.13,139.98,83491772490,498629
10/4/2016,139.74,140.8,139.5,82005150518,0
10/3/2016,140.32,140.47,139.82,82335454004,3290713
9/30/2016,140.15,140.39,138.86,82494702947,0
9/29/2016,138.59,140.87,138.56,81702107093,691912
9/28/2016,140.64,140.92,139.88,82329521674,2388295
9/27/2016,140.41,140.44,139.73,82172603434,376358
9/26/2016,139.82,141.23,139.69,81778707488,0
9/23/2016,141.68,142.03,141.46,82860110602,0
9/22/2016,141.93,142.06,141.22,82956038835,701312
9/21/2016,140.71,140.78,139.25,82245265154,5110541
9/20/2016,139.52,140.24,139.43,81516911541,0
9/19/2016,138.13,138.76,137.62,80704297207,0
9/16/2016,137.07,137.27,136.74,80013553869,0
9/15/2016,136.99,136.99,135.74,79669725933,0
9/14/2016,135.73,135.97,135.06,78913869657,2382628
9/13/2016,134.88,136.27,134.44,78419990935,1770118
9/12/2016,136.87,136.87,134.58,79553861706,0
9/9/2016,135.42,137.87,135.42,78917488250,0
9/8/2016,138.4,138.75,138.01,80720155420,659057
9/7/2016,138.71,138.97,138.24,80896613706,2257602
9/6/2016,138.85,138.85,138.2,80978892105,2686093
9/2/2016,137.84,138.41,137.6,80384077794,98341
9/1/2016,137.5,137.82,136.68,80124861537,5163444
8/31/2016,137.45,138.11,136.92,81883387450,893315
8/30/2016,138.03,138.66,137.98,82176454911,6410671
8/29/2016,138.41,138.64,138.04,82145625478,4627778
8/26/2016,138.02,139.02,137.68,81854903918,0
8/25/2016,137.76,138.29,137.23,81673675862,0
8/24/2016,137.81,139.26,137.55,81766670092,0
8/23/2016,138.98,139.19,138.58,82162805892,0
8/22/2016,138.37,138.37,137.43,81787718344,0
8/19/2016,137.56,138.06,137.21,81251392334,3167588
8/18/2016,136.91,136.95,135.63,80425126925,1443151
8/17/2016,135.42,135.8,135.15,79524673542,590619
8/16/2016,135.67,136.52,135.57,79491588495,405336
8/15/2016,136.89,137.05,136.21,80098410701,462679
8/12/2016,135.72,135.74,135.22,79339286592,802891
8/11/2016,135.29,135.3,134.45,79054643505,3389163
8/10/2016,134.22,135.67,134.22,78401947588,4433514
8/9/2016,135.59,136.07,135.41,79536579434,2505605
8/8/2016,135.64,136,135.45,79077498026,745483
8/5/2016,135.5,135.74,134.32,78904232131,0
8/4/2016,133.88,134.41,133.75,77963225028,746439
8/3/2016,133.89,133.89,132.39,77798692093,3309799
8/2/2016,132.55,134.04,132.42,77163657474,0
8/1/2016,133.9,134.97,133.73,77960740812,0
7/29/2016,134.61,134.84,133.88,78441286587,128161
7/28/2016,134.67,134.92,134.4,78490587755,12853536
7/27/2016,134.67,134.88,134.2,78480711205,3122655
7/26/2016,134.21,134.78,133.58,78011153627,0
7/25/2016,133.28,133.59,132.57,77346750446,0
7/22/2016,132.53,132.61,131.41,77095340760,1660266
7/21/2016,130.99,131.94,130.67,76178790973,456629
7/20/2016,131.52,131.67,130.78,75903831659,7092298
7/19/2016,130.71,131.63,130.59,75434614436,0
7/18/2016,131.48,131.68,130.76,75874212584,233671
7/15/2016,130.79,131.03,130.4,75560858182,473247
7/14/2016,130.74,131.2,130.57,75507341399,217857
7/13/2016,130.41,131.73,130.41,75338825273,497677
7/12/2016,131.37,131.86,130.54,76912366222,339673
7/11/2016,130.03,130.29,129.69,76197032233,0
7/8/2016,129.33,129.61,127.68,75748094664,0
7/7/2016,127.31,127.63,126.75,74664118653,32982
7/6/2016,126.68,126.75,125.41,74291025099,654416
7/5/2016,126.06,127.18,125.83,73891079524,688468
7/1/2016,127.52,127.53,126.53,74743611591,0
6/30/2016,126.56,126.77,125.29,74269071178,3756101
6/29/2016,125.66,125.66,124.88,73730566916,179632
6/28/2016,124.68,124.93,123.48,73013156285,1835821
6/27/2016,122.09,124.66,121.89,71468328777,0
6/24/2016,125.03,126.06,124.11,73345976250,0
6/23/2016,128.58,128.72,127.41,75371200133,0
6/22/2016,126.66,128.11,126.58,74183793706,622625
6/21/2016,127.4,0,0,74590388114,0
6/20/2016,127.48,128.63,127.46,74631815302,361056
6/17/2016,126.71,127.13,126.15,74302643077,0
6/16/2016,126.26,126.5,125.14,75188038443,727200
6/15/2016,125.86,126.54,125.74,73741628159,1732575
6/14/2016,125.25,126.1,124.58,73329956777,0
6/13/2016,125.61,127.44,125.58,73465763505,2087283
6/10/2016,127.13,127.91,127.05,74356225740,0
6/9/2016,128.57,129.39,128.52,75174432475,32982
6/8/2016,129.58,129.64,129.03,75970408524,3472241
6/7/2016,129.23,129.8,129.2,75679302116,627828
6/6/2016,129.6,129.74,127.64,75887626328,0
6/3/2016,128.31,129.11,127.81,75138034493,0
6/2/2016,129.38,129.49,128.45,75623509227,5285623
6/1/2016,128.89,128.89,127.74,75334472654,2133588
5/31/2016,128.47,128.71,127.89,75059398778,0
5/27/2016,126.83,126.85,125.93,74066517443,6857092
5/26/2016,125.93,126.48,125.83,73521149929,2299051
5/25/2016,126.39,126.7,126.17,73801492348,0
5/24/2016,125.96,125.96,124.4,73514119038,0
5/23/2016,124.02,124.34,123.21,72383886589,1871250
5/20/2016,122.99,123.2,121.88,72017348838,790551
5/19/2016,121.67,122.67,120.97,71161708004,8455347
5/18/2016,122.49,122.97,121.91,71590940994,420353
5/17/2016,121.39,123.28,121.28,70893033284,11486802
5/16/2016,122.8,122.89,122.04,71713833245,2061181
5/13/2016,121.82,122.5,121.68,70724180281,2549877
5/12/2016,121.81,123.71,121.6,70644300873,6002651
5/11/2016,123.14,124.57,123.14,71287292356,4030588
5/10/2016,124.31,124.39,123.57,71978228796,0
5/9/2016,124.07,124.43,123.21,71700200149,5152748
5/6/2016,123.28,123.56,122.57,71204268985,1989756
5/5/2016,123.69,124.95,123.69,71432370536,746409
5/4/2016,124.47,125.63,124.01,71771091364,2330517
5/3/2016,125.85,126.9,125.8,72462191377,1249622
5/2/2016,127.45,127.66,126.76,73547462507,227641
4/29/2016,126.92,127.88,126.28,73226846277,0
4/28/2016,127.58,129.07,127.56,73610033087,5964479
4/27/2016,128.5,128.65,127.78,74368375938,4284885
4/26/2016,128.74,128.79,127.9,74424900965,0
4/25/2016,128.39,129.56,128.27,73941298839,0
4/22/2016,129.78,130.05,128.36,74856235731,1660266
4/21/2016,127.46,128.08,127.28,73453490230,4927457
4/20/2016,127.54,127.88,127.18,73491995102,0
4/19/2016,127.39,128.38,127.06,73395122471,0
4/18/2016,127.69,127.96,126.48,73568279654,194726
4/15/2016,126.55,127.06,126.22,72484779699,392315
4/14/2016,126.44,126.64,126.01,72397679747,217693
4/13/2016,126.01,126.17,124.38,72049994320,497700
4/12/2016,124.1,124.14,122.93,70908204738,0
4/11/2016,123.29,124.75,123.26,70425623659,0
4/8/2016,124.07,124.86,123.67,70844860407,0
4/7/2016,123.91,124.94,123.69,70744747369,33039
4/6/2016,125.01,125.18,123.66,71319783978,1256601
4/5/2016,123.56,124.58,123.51,70465433251,465229
4/4/2016,124.64,125.27,124.06,71063172431,0
4/1/2016,123.86,124.16,122.22,70602454974,213791
3/31/2016,123.02,124.03,122.85,70153850069,621762
3/30/2016,122.75,123.83,122.56,69952210463,2531746
3/29/2016,122.6,122.86,120.28,69643510643,2564684
3/28/2016,120.63,121.59,120.26,68734082148,0
3/24/2016,121.23,121.3,119.84,69077321013,0
3/23/2016,120.77,123.31,120.77,68803654340,1287304
3/22/2016,123.08,123.34,122.03,70090798387,1374779
3/21/2016,122.37,122.86,121.62,69669899946,380187
3/18/2016,121.76,121.9,120.67,69309702536,0
3/17/2016,120.26,120.48,118.75,68386838931,0
3/16/2016,119.19,119.85,118.44,67774739158,3981270
3/15/2016,119.48,121.9,119.48,67957385799,0
3/14/2016,121.83,122.08,121.18,69302305707,4234753
3/11/2016,121.28,121.28,119.74,69035490574,2566414
3/10/2016,119.3,120.97,118.65,67881367387,33039
3/9/2016,120.27,120.68,119.74,68419109358,4924282
3/8/2016,119.91,122.07,119.91,68206748572,822898
3/7/2016,122.35,122.93,120.18,69594772730,0
3/4/2016,120.29,121.63,120.29,68407228358,537745
3/3/2016,120.4,120.88,120.21,68470483189,5471174
3/2/2016,120.14,120.14,117.96,68323102487,1363013
3/1/2016,117.94,117.94,116.5,67074619926,0
2/29/2016,116.11,117.62,116.11,66111470545,73864
2/26/2016,116.8,116.8,115.69,66451616259,4074698
2/25/2016,115.66,115.89,115.06,65799680212,2797493
2/24/2016,115.6,115.6,112.99,65610433190,0
2/23/2016,114.55,115.74,114.47,65013236533,0
2/22/2016,115.7,115.94,115.22,65642826946,0
2/19/2016,114.12,114.42,113.26,64734981364,0
2/18/2016,113.74,115.22,113.74,64537440636,813381
2/17/2016,114.67,114.67,113.13,65059324769,0
2/16/2016,112.56,112.56,111.37,63843457415,0
2/12/2016,110.1,110.11,108.87,62445967970,2284150
2/11/2016,108.82,109.07,107.94,61720567461,0
2/10/2016,109.6,111.12,109.44,62156494207,7533991
2/9/2016,109.4,110.63,108.88,62041425149,588214
2/8/2016,110.12,111.72,109.57,62331453408,1835438
2/5/2016,112.96,115.67,112.96,63923893216,0
2/4/2016,115.72,116.68,114.74,65473392632,971030
2/3/2016,114.86,115.65,113.32,64986802176,2175210
2/2/2016,114.89,116.19,114.76,64990149582,3306260
2/1/2016,116.92,117.23,115.93,66139148555,194726
1/29/2016,117.04,117.41,115.06,66130568885,0
1/28/2016,114.69,116.31,114.6,64815155777,10863942
1/27/2016,115.52,117.07,115.36,65272618865,6594199
1/26/2016,116.91,117.45,115.42,66064053924,0
1/25/2016,116.09,118.04,116.09,65568071149,0
1/22/2016,117.25,117.25,115.91,66170456289,0
1/21/2016,114.91,115.94,113.38,64851626812,166925
1/20/2016,113.73,114.4,110.21,64184341644,277336
1/19/2016,113.64,117.02,112.87,64088035228,0
1/15/2016,115.77,116.82,114.22,65288273646,0
1/14/2016,118.8,119.36,116.09,66869654907,392179
1/13/2016,117.49,122.47,117.32,66099445659,752949
1/12/2016,121.62,123.37,120.19,68410163703,0
1/11/2016,121.5,124.43,120.44,68344484951,0
1/8/2016,123.62,126.92,123.52,69536112789,0
1/7/2016,125.47,127.12,125.39,70426681534,250708
1/6/2016,128.68,130.05,128.06,72230566699,1890329
1/5/2016,130.85,131.33,130.38,73449959400,0
1/4/2016,130.71,131.62,129.81,73372272890,116780
12/31/2015,133.48,134.29,133.48,75464863527,409443
12/30/2015,134.34,135.52,134.32,75902755506,0
12/29/2015,135.25,135.71,134.76,76222751493,2599412
12/28/2015,134.79,135.59,134.67,75944208827,639158
12/24/2015,135.63,135.99,135.29,76419190895,2820841
12/23/2015,135.32,135.36,134.28,76239665250,621762
12/22/2015,134.16,134.17,132.98,75529495625,0
12/21/2015,133.35,133.59,132.61,74799608014,143210
12/18/2015,132.64,133.59,132.33,74355270717,0
12/17/2015,133.09,134.53,133.07,74678619073,0
12/16/2015,133.24,133.4,131.86,74705797159,292757
12/15/2015,131.11,131.54,130.5,73350962388,121730
12/14/2015,129.75,131.94,129.42,72216393308,579303
12/11/2015,131.52,133.74,131.52,73640838615,2126278
12/10/2015,134.79,135.1,133.8,75452316197,6012121
12/9/2015,134.03,135.72,134.03,75028421620,2361786
12/8/2015,135.62,136.08,134.12,75887770603,196694
12/7/2015,135.25,138.18,135.19,75262998247,0
12/4/2015,138.59,138.65,137.45,77079193515,917933
12/3/2015,137.89,141.14,137.83,76674879298,727200
12/2/2015,140.71,141.95,140.59,78177133131,921227
12/1/2015,141.56,142.08,140.59,78566876609,626204
11/30/2015,141.44,141.9,140.86,78177867875,73864
11/27/2015,141.2,141.38,140.6,77994543925,3810478
11/25/2015,140.4,140.41,139.21,77464094856,2324713
11/24/2015,139.17,139.18,137.67,76820046354,1287304
11/23/2015,138.38,138.58,136.78,76378796702,3035426
11/20/2015,137.22,137.71,137.03,75674869410,979287
11/19/2015,136.98,138.04,136.73,75381857058,834939
11/18/2015,137.43,137.74,136.12,75638165807,1496804
11/17/2015,135.98,137.55,135.81,76210023941,0
11/16/2015,136.94,137.33,135.88,76302332772,4406432
11/13/2015,136.94,137.96,136.67,76230099637,4464960
11/12/2015,137.36,139.53,137.35,76474286594,2361652
11/11/2015,140.15,141.75,140.15,78024961122,0
11/10/2015,141.35,141.35,140.07,78266238832,4653631
11/9/2015,141.12,141.9,140.57,78142319016,2397232
11/6/2015,141.32,141.35,139.41,77700627756,1811442
11/5/2015,140.72,142.04,140.33,77283187653,3324115
11/4/2015,141.88,142.5,141.25,77887773713,659620
11/3/2015,141.91,142.44,140.58,77702769052,2871180
11/2/2015,141.03,141.03,137.3,77219983983,985788
10/30/2015,137.08,138.47,137.04,75224162493,156366498
10/29/2015,138.01,140.41,137.94,75549302548,8828788
10/28/2015,140.06,140.07,136.18,76426721698,6662782
10/27/2015,136.38,137.77,136.29,74340937125,1566884
10/26/2015,137.68,138.49,137.41,75045721524,0
10/23/2015,137.68,137.74,136.59,75214089385,0
10/22/2015,136.22,137.63,135.58,74414697564,168019
10/21/2015,136.29,138.39,135.83,74423626206,0
10/20/2015,137.69,139.07,137.53,75184486689,0
10/19/2015,139.11,140.36,137.86,76091289278,261662
10/16/2015,138.72,139.64,137.85,75881679782,390765
10/15/2015,139.11,139.11,135.46,76326150988,0
10/14/2015,135.18,137.21,135.18,72647120251,4902157
10/13/2015,136.3,139.31,136.19,72986473417,428859
10/12/2015,138.86,139.74,138.17,74132492123,0
10/9/2015,139.06,139.37,138.01,74281167368,217610
10/8/2015,138.32,138.32,136.47,73883836175,33161
10/7/2015,137.76,138.15,136.03,73563863300,577959
10/6/2015,136.34,137.54,134.9,72802225797,0
10/5/2015,138.61,138.76,137.36,73997076977,0
10/2/2015,136.53,136.53,133.02,72893132373,471570
10/1/2015,134.55,135.9,133.36,71829245947,639069
9/30/2015,135.58,135.58,134.03,72138560471,987428
9/29/2015,133.45,136.85,132.93,70891619877,0
9/28/2015,135.7,140.93,134.93,71515963305,4788823
9/25/2015,141.4,147.13,141.06,74509854608,0
