"Date(UTC)","UnixTimeStamp","Value"
"9/17/2017","1505606400","267"
"9/18/2017","1505692800","646"
"9/19/2017","1505779200","360"
"9/20/2017","1505865600","170"
"9/21/2017","1505952000","453"
"9/22/2017","1506038400","463"
"9/23/2017","1506124800","167"
"9/24/2017","1506211200","142"
"9/25/2017","1506297600","190"
"9/26/2017","1506384000","203"
"9/27/2017","1506470400","183"
"9/28/2017","1506556800","144"
"9/29/2017","1506643200","131"
"9/30/2017","1506729600","140"
"10/1/2017","1506816000","295"
"10/2/2017","1506902400","269"
"10/3/2017","1506988800","403"
"10/4/2017","1507075200","391"
"10/5/2017","1507161600","762"
"10/6/2017","1507248000","186"
"10/7/2017","1507334400","184"
"10/8/2017","1507420800","150"
"10/9/2017","1507507200","228"
"10/10/2017","1507593600","188"
"10/11/2017","1507680000","115"
"10/12/2017","1507766400","169"
"10/13/2017","1507852800","552"
"10/14/2017","1507939200","150"
"10/15/2017","1508025600","133"
"10/16/2017","1508112000","154"
"10/17/2017","1508198400","332"
"10/18/2017","1508284800","770"
"10/19/2017","1508371200","214"
"10/20/2017","1508457600","260"
"10/21/2017","1508544000","347"
"10/22/2017","1508630400","468"
"10/23/2017","1508716800","262"
"10/24/2017","1508803200","471"
"10/25/2017","1508889600","406"
"10/26/2017","1508976000","294"
"10/27/2017","1509062400","296"
"10/28/2017","1509148800","335"
"10/29/2017","1509235200","351"
"10/30/2017","1509321600","465"
"10/31/2017","1509408000","450"
"11/1/2017","1509494400","303"
"11/2/2017","1509580800","657"
"11/3/2017","1509667200","647"
"11/4/2017","1509753600","619"
"11/5/2017","1509840000","475"
"11/6/2017","1509926400","478"
"11/7/2017","1510012800","486"
"11/8/2017","1510099200","974"
"11/9/2017","1510185600","561"
"11/10/2017","1510272000","480"
"11/11/2017","1510358400","392"
"11/12/2017","1510444800","483"
"11/13/2017","1510531200","716"
"11/14/2017","1510617600","641"
"11/15/2017","1510704000","318"
"11/16/2017","1510790400","339"
"11/17/2017","1510876800","234"
"11/18/2017","1510963200","307"
"11/19/2017","1511049600","325"
"11/20/2017","1511136000","405"
"11/21/2017","1511222400","250"
"11/22/2017","1511308800","259"
"11/23/2017","1511395200","322"
"11/24/2017","1511481600","278"
"11/25/2017","1511568000","396"
"11/26/2017","1511654400","245"
"11/27/2017","1511740800","336"
"11/28/2017","1511827200","284"
"11/29/2017","1511913600","353"
"11/30/2017","1512000000","351"
"12/1/2017","1512086400","280"
"12/2/2017","1512172800","200"
"12/3/2017","1512259200","330"
"12/4/2017","1512345600","194"
"12/5/2017","1512432000","135"
"12/6/2017","1512518400","42"
"12/7/2017","1512604800","144"
"12/8/2017","1512691200","117"
"12/9/2017","1512777600","87"
"12/10/2017","1512864000","127"
"12/11/2017","1512950400","61"
"12/12/2017","1513036800","52"
"12/13/2017","1513123200","100"
"12/14/2017","1513209600","76"
"12/15/2017","1513296000","94"
"12/16/2017","1513382400","152"
"12/17/2017","1513468800","88"
"12/18/2017","1513555200","235"
"12/19/2017","1513641600","70"
"12/20/2017","1513728000","44"
"12/21/2017","1513814400","110"
"12/22/2017","1513900800","153"
"12/23/2017","1513987200","141"
"12/24/2017","1514073600","86"
"12/25/2017","1514160000","190"
"12/26/2017","1514246400","70"
"12/27/2017","1514332800","137"
"12/28/2017","1514419200","122"
"12/29/2017","1514505600","105"
"12/30/2017","1514592000","119"
"12/31/2017","1514678400","98"
"1/1/2018","1514764800","119"
"1/2/2018","1514851200","167"
"1/3/2018","1514937600","81"
"1/4/2018","1515024000","98"
"1/5/2018","1515110400","54"
"1/6/2018","1515196800","52"
"1/7/2018","1515283200","59"
"1/8/2018","1515369600","92"
"1/9/2018","1515456000","54"
"1/10/2018","1515542400","54"
"1/11/2018","1515628800","83"
"1/12/2018","1515715200","96"
"1/13/2018","1515801600","76"
"1/14/2018","1515888000","37"
"1/15/2018","1515974400","70"
"1/16/2018","1516060800","40"
"1/17/2018","1516147200","47"
"1/18/2018","1516233600","78"
"1/19/2018","1516320000","50"
"1/20/2018","1516406400","50"
"1/21/2018","1516492800","37"
"1/22/2018","1516579200","70"
"1/23/2018","1516665600","153"
"1/24/2018","1516752000","105"
"1/25/2018","1516838400","118"
"1/26/2018","1516924800","137"
"1/27/2018","1517011200","127"
"1/28/2018","1517097600","62"
"1/29/2018","1517184000","52"
"1/30/2018","1517270400","97"
"1/31/2018","1517356800","85"
"2/1/2018","1517443200","95"
"2/2/2018","1517529600","67"
"2/3/2018","1517616000","74"
"2/4/2018","1517702400","95"
"2/5/2018","1517788800","75"
"2/6/2018","1517875200","138"
"2/7/2018","1517961600","105"
"2/8/2018","1518048000","123"
"2/9/2018","1518134400","168"
"2/10/2018","1518220800","84"
"2/11/2018","1518307200","119"
"2/12/2018","1518393600","129"
"2/13/2018","1518480000","125"
"2/14/2018","1518566400","129"
"2/15/2018","1518652800","116"
"2/16/2018","1518739200","85"
"2/17/2018","1518825600","78"
"2/18/2018","1518912000","67"
"2/19/2018","1518998400","128"
"2/20/2018","1519084800","76"
"2/21/2018","1519171200","85"
"2/22/2018","1519257600","71"
"2/23/2018","1519344000","66"
"2/24/2018","1519430400","66"
"2/25/2018","1519516800","66"
"2/26/2018","1519603200","102"
"2/27/2018","1519689600","96"
"2/28/2018","1519776000","53"
"3/1/2018","1519862400","67"
"3/2/2018","1519948800","56"
"3/3/2018","1520035200","52"
"3/4/2018","1520121600","73"
"3/5/2018","1520208000","104"
"3/6/2018","1520294400","90"
"3/7/2018","1520380800","65"
"3/8/2018","1520467200","110"
"3/9/2018","1520553600","144"
"3/10/2018","1520640000","147"
"3/11/2018","1520726400","106"
"3/12/2018","1520812800","81"
"3/13/2018","1520899200","163"
"3/14/2018","1520985600","141"
"3/15/2018","1521072000","109"
"3/16/2018","1521158400","131"
"3/17/2018","1521244800","126"
"3/18/2018","1521331200","84"
"3/19/2018","1521417600","92"
"3/20/2018","1521504000","96"
"3/21/2018","1521590400","192"
"3/22/2018","1521676800","186"
"3/23/2018","1521763200","168"
"3/24/2018","1521849600","165"
"3/25/2018","1521936000","131"
"3/26/2018","1522022400","120"
"3/27/2018","1522108800","193"
"3/28/2018","1522195200","124"
"3/29/2018","1522281600","88"
"3/30/2018","1522368000","227"
"3/31/2018","1522454400","109"
"4/1/2018","1522540800","196"
"4/2/2018","1522627200","453"
"4/3/2018","1522713600","164"
"4/4/2018","1522800000","292"
"4/5/2018","1522886400","170"
"4/6/2018","1522972800","244"
"4/7/2018","1523059200","1067"
"4/8/2018","1523145600","413"
"4/9/2018","1523232000","146"
"4/10/2018","1523318400","224"
"4/11/2018","1523404800","115"
"4/12/2018","1523491200","65"
"4/13/2018","1523577600","110"
"4/14/2018","1523664000","98"
"4/15/2018","1523750400","156"
"4/16/2018","1523836800","103"
"4/17/2018","1523923200","81"
"4/18/2018","1524009600","47"
"4/19/2018","1524096000","33"
"4/20/2018","1524182400","65"
"4/21/2018","1524268800","64"
"4/22/2018","1524355200","58"
"4/23/2018","1524441600","80"
"4/24/2018","1524528000","58"
"4/25/2018","1524614400","49"
"4/26/2018","1524700800","93"
"4/27/2018","1524787200","86"
"4/28/2018","1524873600","70"
"4/29/2018","1524960000","59"
"4/30/2018","1525046400","96"
"5/1/2018","1525132800","134"
"5/2/2018","1525219200","215"
"5/3/2018","1525305600","66"
"5/4/2018","1525392000","86"
"5/5/2018","1525478400","77"
"5/6/2018","1525564800","77"
"5/7/2018","1525651200","120"
"5/8/2018","1525737600","104"
"5/9/2018","1525824000","110"
"5/10/2018","1525910400","39"
"5/11/2018","1525996800","64"
"5/12/2018","1526083200","37"
"5/13/2018","1526169600","46"
"5/14/2018","1526256000","115"
"5/15/2018","1526342400","230"
"5/16/2018","1526428800","71"
"5/17/2018","1526515200","268"
"5/18/2018","1526601600","24"
"5/19/2018","1526688000","34"
"5/20/2018","1526774400","29"
"5/21/2018","1526860800","30"
"5/22/2018","1526947200","16"
"5/23/2018","1527033600","41"
"5/24/2018","1527120000","24"
"5/25/2018","1527206400","27"
"5/26/2018","1527292800","123"
"5/27/2018","1527379200","68"
"5/28/2018","1527465600","93"
"5/29/2018","1527552000","121"
"5/30/2018","1527638400","35"
"5/31/2018","1527724800","546"
"6/1/2018","1527811200","796"
"6/2/2018","1527897600","36"
"6/3/2018","1527984000","794"
"6/4/2018","1528070400","942"
"6/5/2018","1528156800","105"
"6/6/2018","1528243200","27"
"6/7/2018","1528329600","13"
"6/8/2018","1528416000","133"
"6/9/2018","1528502400","356"
"6/10/2018","1528588800","13"
"6/11/2018","1528675200","42"
"6/12/2018","1528761600","46"
"6/13/2018","1528848000","17"
"6/14/2018","1528934400","25"
"6/15/2018","1529020800","24"
"6/16/2018","1529107200","47"
"6/17/2018","1529193600","56"
"6/18/2018","1529280000","25"
"6/19/2018","1529366400","48"
"6/20/2018","1529452800","15"
"6/21/2018","1529539200","10"
"6/22/2018","1529625600","18"
"6/23/2018","1529712000","19"
"6/24/2018","1529798400","59"
"6/25/2018","1529884800","56"
"6/26/2018","1529971200","40"
"6/27/2018","1530057600","94"
"6/28/2018","1530144000","35"
"6/29/2018","1530230400","62"
"6/30/2018","1530316800","30"
"7/1/2018","1530403200","82"
"7/2/2018","1530489600","12"
"7/3/2018","1530576000","19"
"7/4/2018","1530662400","16"
"7/5/2018","1530748800","13"
"7/6/2018","1530835200","12"
"7/7/2018","1530921600","9"
"7/8/2018","1531008000","14"
"7/9/2018","1531094400","26"
"7/10/2018","1531180800","26"
"7/11/2018","1531267200","12"
"7/12/2018","1531353600","10"
"7/13/2018","1531440000","9"
"7/14/2018","1531526400","14"
"7/15/2018","1531612800","27"
"7/16/2018","1531699200","30"
"7/17/2018","1531785600","17"
"7/18/2018","1531872000","20"
"7/19/2018","1531958400","12"
"7/20/2018","1532044800","14"
"7/21/2018","1532131200","37"
"7/22/2018","1532217600","47"
"7/23/2018","1532304000","119"
"7/24/2018","1532390400","20"
"7/25/2018","1532476800","30"
"7/26/2018","1532563200","25"
"7/27/2018","1532649600","72"
"7/28/2018","1532736000","12"
"7/29/2018","1532822400","11"
"7/30/2018","1532908800","34"
"7/31/2018","1532995200","38"
"8/1/2018","1533081600","28"
"8/2/2018","1533168000","47"
"8/3/2018","1533254400","9"
"8/4/2018","1533340800","25"
"8/5/2018","1533427200","23"
"8/6/2018","1533513600","39"
"8/7/2018","1533600000","75"
"8/8/2018","1533686400","26"
"8/9/2018","1533772800","22"
"8/10/2018","1533859200","24"
"8/11/2018","1533945600","176"
"8/12/2018","1534032000","48"
"8/13/2018","1534118400","58"
"8/14/2018","1534204800","27"
"8/15/2018","1534291200","36"
"8/16/2018","1534377600","48"
"8/17/2018","1534464000","41"
"8/18/2018","1534550400","43"
"8/19/2018","1534636800","32"
"8/20/2018","1534723200","32"
"8/21/2018","1534809600","38"
"8/22/2018","1534896000","23"
"8/23/2018","1534982400","53"
"8/24/2018","1535068800","42"
"8/25/2018","1535155200","48"
"8/26/2018","1535241600","20"
"8/27/2018","1535328000","23"
"8/28/2018","1535414400","34"
"8/29/2018","1535500800","53"
"8/30/2018","1535587200","33"
"8/31/2018","1535673600","35"
"9/1/2018","1535760000","17"
"9/2/2018","1535846400","51"
"9/3/2018","1535932800","34"
"9/4/2018","1536019200","45"
"9/5/2018","1536105600","61"
"9/6/2018","1536192000","47"
"9/7/2018","1536278400","33"
"9/8/2018","1536364800","24"
"9/9/2018","1536451200","26"
"9/10/2018","1536537600","19"
"9/11/2018","1536624000","20"
"9/12/2018","1536710400","18"
"9/13/2018","1536796800","21"
"9/14/2018","1536883200","36"
"9/15/2018","1536969600","14"
"9/16/2018","1537056000","19"
"9/17/2018","1537142400","26"
"9/18/2018","1537228800","57"
"9/19/2018","1537315200","34"
"9/20/2018","1537401600","23"
"9/21/2018","1537488000","15"
"9/22/2018","1537574400","35"
"9/23/2018","1537660800","7"
"9/24/2018","1537747200","35"
"9/25/2018","1537833600","27"
"9/26/2018","1537920000","63"
"9/27/2018","1538006400","25"
"9/28/2018","1538092800","8"
"9/29/2018","1538179200","13"
"9/30/2018","1538265600","26"
"10/1/2018","1538352000","27"
"10/2/2018","1538438400","32"
"10/3/2018","1538524800","37"
"10/4/2018","1538611200","11"
"10/5/2018","1538697600","21"
"10/6/2018","1538784000","23"
"10/7/2018","1538870400","17"
"10/8/2018","1538956800","19"
"10/9/2018","1539043200","26"
"10/10/2018","1539129600","12"
"10/11/2018","1539216000","27"
"10/12/2018","1539302400","20"
"10/13/2018","1539388800","14"
"10/14/2018","1539475200","17"
"10/15/2018","1539561600","32"
"10/16/2018","1539648000","49"
"10/17/2018","1539734400","43"
"10/18/2018","1539820800","30"
"10/19/2018","1539907200","12"
"10/20/2018","1539993600","63"
"10/21/2018","1540080000","46"
"10/22/2018","1540166400","40"
"10/23/2018","1540252800","55"
"10/24/2018","1540339200","33"
"10/25/2018","1540425600","20"
"10/26/2018","1540512000","26"
"10/27/2018","1540598400","58"
"10/28/2018","1540684800","32"
"10/29/2018","1540771200","46"
"10/30/2018","1540857600","51"
"10/31/2018","1540944000","547"
"11/1/2018","1541030400","337"
"11/2/2018","1541116800","422"
"11/3/2018","1541203200","6130"
"11/4/2018","1541289600","14688"
"11/5/2018","1541376000","254"
"11/6/2018","1541462400","147"
"11/7/2018","1541548800","112"
"11/8/2018","1541635200","33"
"11/9/2018","1541721600","27"
"11/10/2018","1541808000","47"
"11/11/2018","1541894400","48"
"11/12/2018","1541980800","34"
"11/13/2018","1542067200","62"
"11/14/2018","1542153600","6223"
"11/15/2018","1542240000","1889"
"11/16/2018","1542326400","2738"
"11/17/2018","1542412800","8107"
"11/18/2018","1542499200","43"
"11/19/2018","1542585600","354"
"11/20/2018","1542672000","350"
"11/21/2018","1542758400","25"
"11/22/2018","1542844800","28"
"11/23/2018","1542931200","26"
"11/24/2018","1543017600","50"
"11/25/2018","1543104000","54"
"11/26/2018","1543190400","27"
"11/27/2018","1543276800","41"
"11/28/2018","1543363200","62"
"11/29/2018","1543449600","23"
"11/30/2018","1543536000","14"
"12/1/2018","1543622400","25"
"12/2/2018","1543708800","37"
"12/3/2018","1543795200","30"
"12/4/2018","1543881600","16"
"12/5/2018","1543968000","23"
"12/6/2018","1544054400","79"
"12/7/2018","1544140800","83"
"12/8/2018","1544227200","248"
"12/9/2018","1544313600","24"
"12/10/2018","1544400000","104"
"12/11/2018","1544486400","92"
"12/12/2018","1544572800","23"
"12/13/2018","1544659200","23"
"12/14/2018","1544745600","11"
"12/15/2018","1544832000","24"
"12/16/2018","1544918400","43"
"12/17/2018","1545004800","67"
"12/18/2018","1545091200","8"
"12/19/2018","1545177600","28"
"12/20/2018","1545264000","25"
"12/21/2018","1545350400","101"
"12/22/2018","1545436800","32"
"12/23/2018","1545523200","28"
"12/24/2018","1545609600","45"
"12/25/2018","1545696000","15"
"12/26/2018","1545782400","80"
"12/27/2018","1545868800","30"
"12/28/2018","1545955200","148"
"12/29/2018","1546041600","93"
"12/30/2018","1546128000","140"
"12/31/2018","1546214400","55"
"1/1/2019","1546300800","30"
"1/2/2019","1546387200","166"
"1/3/2019","1546473600","30"
"1/4/2019","1546560000","35"
"1/5/2019","1546646400","44"
"1/6/2019","1546732800","345"
"1/7/2019","1546819200","25"
"1/8/2019","1546905600","18"
"1/9/2019","1546992000","42"
"1/10/2019","1547078400","49"
"1/11/2019","1547164800","48"
"1/12/2019","1547251200","14"
"1/13/2019","1547337600","19"
"1/14/2019","1547424000","32"
"1/15/2019","1547510400","25"
"1/16/2019","1547596800","40"
"1/17/2019","1547683200","55"
"1/18/2019","1547769600","24"
"1/19/2019","1547856000","29"
"1/20/2019","1547942400","66"
"1/21/2019","1548028800","93"
"1/22/2019","1548115200","32"
"1/23/2019","1548201600","17"
"1/24/2019","1548288000","45"
"1/25/2019","1548374400","26"
"1/26/2019","1548460800","23"
"1/27/2019","1548547200","23"
"1/28/2019","1548633600","63"
"1/29/2019","1548720000","31"
"1/30/2019","1548806400","39"
"1/31/2019","1548892800","20"
"2/1/2019","1548979200","43"
"2/2/2019","1549065600","57"
"2/3/2019","1549152000","17"
"2/4/2019","1549238400","21"
"2/5/2019","1549324800","9"
"2/6/2019","1549411200","38"
"2/7/2019","1549497600","33"
"2/8/2019","1549584000","13"
"2/9/2019","1549670400","32"
"2/10/2019","1549756800","23"
"2/11/2019","1549843200","39"
"2/12/2019","1549929600","44"
"2/13/2019","1550016000","7"
"2/14/2019","1550102400","15"
"2/15/2019","1550188800","22"
"2/16/2019","1550275200","44"
"2/17/2019","1550361600","10"
"2/18/2019","1550448000","66"
"2/19/2019","1550534400","46"
"2/20/2019","1550620800","50"
"2/21/2019","1550707200","122"
"2/22/2019","1550793600","48"
"2/23/2019","1550880000","57"
"2/24/2019","1550966400","42"
"2/25/2019","1551052800","38"
"2/26/2019","1551139200","11"
"2/27/2019","1551225600","37"
"2/28/2019","1551312000","21"
"3/1/2019","1551398400","11"
"3/2/2019","1551484800","48"
"3/3/2019","1551571200","23"
"3/4/2019","1551657600","9"
"3/5/2019","1551744000","15"
"3/6/2019","1551830400","35"
"3/7/2019","1551916800","13"
"3/8/2019","1552003200","7"
"3/9/2019","1552089600","20"
"3/10/2019","1552176000","55"
"3/11/2019","1552262400","16"
"3/12/2019","1552348800","14"
"3/13/2019","1552435200","39"
"3/14/2019","1552521600","38"
"3/15/2019","1552608000","59"
"3/16/2019","1552694400","10"
"3/17/2019","1552780800","34"
"3/18/2019","1552867200","35"
"3/19/2019","1552953600","29"
"3/20/2019","1553040000","21"
"3/21/2019","1553126400","14"
"3/22/2019","1553212800","39"
"3/23/2019","1553299200","16"
"3/24/2019","1553385600","42"
"3/25/2019","1553472000","38"
"3/26/2019","1553558400","54"
"3/27/2019","1553644800","51"
"3/28/2019","1553731200","18"
"3/29/2019","1553817600","67"
"3/30/2019","1553904000","16"
"3/31/2019","1553990400","75"
"4/1/2019","1554076800","93"
"4/2/2019","1554163200","42"
"4/3/2019","1554249600","51"
"4/4/2019","1554336000","44"
"4/5/2019","1554422400","33"
"4/6/2019","1554508800","47"
"4/7/2019","1554595200","88"
"4/8/2019","1554681600","37"
"4/9/2019","1554768000","45"
"4/10/2019","1554854400","17"
"4/11/2019","1554940800","70"
"4/12/2019","1555027200","19"
"4/13/2019","1555113600","13"
"4/14/2019","1555200000","167"
"4/15/2019","1555286400","35"
"4/16/2019","1555372800","30"
"4/17/2019","1555459200","88"
"4/18/2019","1555545600","87"
"4/19/2019","1555632000","55"
"4/20/2019","1555718400","55"
"4/21/2019","1555804800","20"
"4/22/2019","1555891200","26"
"4/23/2019","1555977600","49"
"4/24/2019","1556064000","23"
"4/25/2019","1556150400","44"
"4/26/2019","1556236800","10"
"4/27/2019","1556323200","11"
"4/28/2019","1556409600","181"
"4/29/2019","1556496000","23"
"4/30/2019","1556582400","43"
"5/1/2019","1556668800","768"
"5/2/2019","1556755200","1024"
"5/3/2019","1556841600","447"
"5/4/2019","1556928000","23"
"5/5/2019","1557014400","650"
"5/6/2019","1557100800","32"
"5/7/2019","1557187200","53"
"5/8/2019","1557273600","13"
"5/9/2019","1557360000","20"
"5/10/2019","1557446400","6"
"5/11/2019","1557532800","2"
"5/12/2019","1557619200","4"
"5/13/2019","1557705600","4"
"5/14/2019","1557792000","18"
"5/15/2019","1557878400","0"
"5/16/2019","1557964800","1"
"5/17/2019","1558051200","0"
"5/18/2019","1558137600","0"
"5/19/2019","1558224000","1"
"5/20/2019","1558310400","0"
"5/21/2019","1558396800","2"
"5/22/2019","1558483200","0"
"5/23/2019","1558569600","3"
"5/24/2019","1558656000","0"
"5/25/2019","1558742400","1"
"5/26/2019","1558828800","1"
"5/27/2019","1558915200","1"
"5/28/2019","1559001600","0"
"5/29/2019","1559088000","0"
"5/30/2019","1559174400","0"
"5/31/2019","1559260800","0"
"6/1/2019","1559347200","0"
"6/2/2019","1559433600","0"
"6/3/2019","1559520000","0"
"6/4/2019","1559606400","1"
"6/5/2019","1559692800","0"
"6/6/2019","1559779200","0"
"6/7/2019","1559865600","0"
"6/8/2019","1559952000","0"
"6/9/2019","1560038400","6"
"6/10/2019","1560124800","0"
"6/11/2019","1560211200","0"
"6/12/2019","1560297600","0"
"6/13/2019","1560384000","0"
"6/14/2019","1560470400","0"
"6/15/2019","1560556800","0"
"6/16/2019","1560643200","0"
"6/17/2019","1560729600","0"
"6/18/2019","1560816000","0"
"6/19/2019","1560902400","0"
"6/20/2019","1560988800","0"
"6/21/2019","1561075200","0"
"6/22/2019","1561161600","0"
"6/23/2019","1561248000","1"
"6/24/2019","1561334400","0"
"6/25/2019","1561420800","0"
"6/26/2019","1561507200","0"
"6/27/2019","1561593600","0"
"6/28/2019","1561680000","0"
"6/29/2019","1561766400","0"
"6/30/2019","1561852800","0"
"7/1/2019","1561939200","0"
"7/2/2019","1562025600","0"
"7/3/2019","1562112000","3"
"7/4/2019","1562198400","0"
"7/5/2019","1562284800","1"
"7/6/2019","1562371200","0"
"7/7/2019","1562457600","0"
"7/8/2019","1562544000","0"
"7/9/2019","1562630400","0"
"7/10/2019","1562716800","0"
"7/11/2019","1562803200","0"
"7/12/2019","1562889600","0"
"7/13/2019","1562976000","0"
"7/14/2019","1563062400","0"
"7/15/2019","1563148800","0"
"7/16/2019","1563235200","0"
"7/17/2019","1563321600","0"
"7/18/2019","1563408000","0"
"7/19/2019","1563494400","0"
"7/20/2019","1563580800","0"
"7/21/2019","1563667200","4"
"7/22/2019","1563753600","0"
"7/23/2019","1563840000","1"
"7/24/2019","1563926400","0"
"7/25/2019","1564012800","0"
"7/26/2019","1564099200","0"
"7/27/2019","1564185600","5"
"7/28/2019","1564272000","0"
"7/29/2019","1564358400","0"
"7/30/2019","1564444800","0"
"7/31/2019","1564531200","0"
"8/1/2019","1564617600","0"
"8/2/2019","1564704000","0"
"8/3/2019","1564790400","7"
"8/4/2019","1564876800","0"
"8/5/2019","1564963200","0"
"8/6/2019","1565049600","0"
"8/7/2019","1565136000","7"
"8/8/2019","1565222400","24"
"8/9/2019","1565308800","0"
"8/10/2019","1565395200","0"
"8/11/2019","1565481600","2"
"8/12/2019","1565568000","0"
"8/13/2019","1565654400","0"
"8/14/2019","1565740800","0"
"8/15/2019","1565827200","0"
"8/16/2019","1565913600","0"
"8/17/2019","1566000000","0"
"8/18/2019","1566086400","0"
"8/19/2019","1566172800","0"
"8/20/2019","1566259200","0"
"8/21/2019","1566345600","0"
"8/22/2019","1566432000","0"
"8/23/2019","1566518400","0"
"8/24/2019","1566604800","0"
"8/25/2019","1566691200","0"
"8/26/2019","1566777600","0"
"8/27/2019","1566864000","0"
"8/28/2019","1566950400","0"
"8/29/2019","1567036800","0"
"8/30/2019","1567123200","0"
"8/31/2019","1567209600","0"
"9/1/2019","1567296000","0"
"9/2/2019","1567382400","0"
"9/3/2019","1567468800","0"
"9/4/2019","1567555200","1"
"9/5/2019","1567641600","0"
"9/6/2019","1567728000","0"
"9/7/2019","1567814400","0"
"9/8/2019","1567900800","0"
"9/9/2019","1567987200","0"
"9/10/2019","1568073600","0"
"9/11/2019","1568160000","0"
"9/12/2019","1568246400","0"
"9/13/2019","1568332800","0"
"9/14/2019","1568419200","0"
"9/15/2019","1568505600","0"
"9/16/2019","1568592000","0"
