Date,Tweets
2/3/2017,2049
2/4/2017,1494
2/5/2017,1482
2/6/2017,1659
2/7/2017,1910
2/8/2017,1987
2/9/2017,1837
2/10/2017,2241
2/11/2017,1893
2/12/2017,1637
2/13/2017,1735
2/14/2017,2320
2/15/2017,3673
2/16/2017,18078
2/17/2017,4287
2/18/2017,3759
2/19/2017,2984
2/20/2017,3469
2/21/2017,3470
2/22/2017,2934
2/23/2017,2862
2/24/2017,3159
2/25/2017,2565
2/26/2017,2853
2/27/2017,3660
2/28/2017,4700
3/1/2017,3865
3/2/2017,3593
3/3/2017,2841
3/4/2017,4207
3/5/2017,2265
3/6/2017,3238
3/7/2017,2307
3/8/2017,2416
3/9/2017,2981
3/10/2017,4173
3/11/2017,3670
3/12/2017,4090
3/13/2017,5321
3/14/2017,4659
3/15/2017,4888
3/16/2017,5545
3/17/2017,4902
3/18/2017,5211
3/19/2017,3449
3/20/2017,5631
3/21/2017,5091
3/22/2017,2852
3/23/2017,3089
3/24/2017,3773
3/25/2017,3030
3/26/2017,2745
3/27/2017,3655
3/28/2017,6384
3/29/2017,5187
3/30/2017,5085
3/31/2017,3084
4/1/2017,3314
4/2/2017,3232
4/3/2017,3608
4/4/2017,4682
4/5/2017,4248
4/6/2017,4721
4/7/2017,4161
4/8/2017,4486
4/9/2017,4161
4/10/2017,4599
4/11/2017,4450
4/12/2017,5287
4/13/2017,5045
4/14/2017,4085
4/15/2017,3791
4/16/2017,3516
4/17/2017,5209
4/18/2017,4328
4/19/2017,3578
4/20/2017,4579
4/21/2017,5261
4/22/2017,3425
4/23/2017,4878
4/24/2017,5366
4/25/2017,5161
4/26/2017,5897
4/27/2017,7181
4/28/2017,6870
4/29/2017,4984
4/30/2017,5280
5/1/2017,6340
5/2/2017,6970
5/3/2017,6506
5/4/2017,6535
5/5/2017,6735
5/6/2017,4174
5/7/2017,5567
5/8/2017,5368
5/9/2017,5336
5/10/2017,5235
5/11/2017,4587
5/12/2017,5607
5/13/2017,5044
5/14/2017,3910
5/15/2017,3769
5/16/2017,4129
5/17/2017,4000
5/18/2017,4757
5/19/2017,4492
5/20/2017,5206
5/21/2017,6573
5/22/2017,8620
5/23/2017,7248
5/24/2017,6984
5/25/2017,10863
5/26/2017,8902
5/27/2017,8319
5/28/2017,7542
5/29/2017,7110
5/30/2017,7591
5/31/2017,8564
6/1/2017,14322
6/2/2017,11204
6/3/2017,6962
6/4/2017,14085
6/5/2017,9714
6/6/2017,9192
6/7/2017,9017
6/8/2017,9147
6/9/2017,10141
6/10/2017,10560
6/11/2017,10853
6/12/2017,14709
6/13/2017,20977
6/14/2017,13279
6/15/2017,13598
6/16/2017,14424
6/17/2017,13221
6/18/2017,12296
6/19/2017,12833
6/20/2017,14042
6/21/2017,13789
6/22/2017,12631
6/23/2017,14903
6/24/2017,
6/25/2017,
6/26/2017,
6/27/2017,
6/28/2017,
6/29/2017,
6/30/2017,
7/1/2017,
7/2/2017,
7/3/2017,
7/4/2017,
7/5/2017,
7/6/2017,
7/7/2017,
7/8/2017,
7/9/2017,
7/10/2017,
7/11/2017,
7/12/2017,16775
7/13/2017,15409
7/14/2017,15372
7/15/2017,14878
7/16/2017,11940
7/17/2017,17557
7/18/2017,17924
7/19/2017,19618
7/20/2017,16516
7/21/2017,15196
7/22/2017,15260
7/23/2017,15441
7/24/2017,16151
7/25/2017,16428
7/26/2017,17958
7/27/2017,15510
7/28/2017,16163
7/29/2017,17486
7/30/2017,13824
7/31/2017,20653
8/1/2017,18520
8/2/2017,16533
8/3/2017,15957
8/4/2017,15293
8/5/2017,14741
8/6/2017,14575
8/7/2017,16000
8/8/2017,17226
8/9/2017,15975
8/10/2017,14397
8/11/2017,14491
8/12/2017,16170
8/13/2017,17483
8/14/2017,20849
8/15/2017,19526
8/16/2017,20372
8/17/2017,23809
8/18/2017,19178
8/19/2017,17123
8/20/2017,20442
8/21/2017,19256
8/22/2017,25436
8/23/2017,19335
8/24/2017,18117
8/25/2017,22563
8/26/2017,19902
8/27/2017,19658
8/28/2017,19258
8/29/2017,20341
8/30/2017,19004
8/31/2017,18299
9/1/2017,16469
9/2/2017,14470
9/3/2017,16968
9/4/2017,22034
9/5/2017,22933
9/6/2017,20095
9/7/2017,17425
9/8/2017,17831
9/9/2017,15866
9/10/2017,18503
9/11/2017,18312
9/12/2017,17549
9/13/2017,19233
9/14/2017,25674
9/15/2017,22983
9/16/2017,19503
9/17/2017,19258
9/18/2017,21316
9/19/2017,21384
9/20/2017,19832
9/21/2017,22931
9/22/2017,21675
9/23/2017,18618
9/24/2017,21095
9/25/2017,23143
9/26/2017,22899
9/27/2017,23949
9/28/2017,23235
9/29/2017,32569
9/30/2017,21553
10/1/2017,24371
10/2/2017,28804
10/3/2017,26739
10/4/2017,35959
10/5/2017,25156
10/6/2017,29486
10/7/2017,40978
10/8/2017,31087
10/9/2017,25922
10/10/2017,27867
10/11/2017,23109
10/12/2017,23367
10/13/2017,26792
10/14/2017,26862
10/15/2017,51682
10/16/2017,29405
10/17/2017,34301
10/18/2017,23900
10/19/2017,27325
10/20/2017,26704
10/21/2017,23877
10/22/2017,20998
10/23/2017,26917
10/24/2017,22407
10/25/2017,22034
10/26/2017,20603
10/27/2017,22838
10/28/2017,19606
10/29/2017,20377
10/30/2017,21067
10/31/2017,22211
11/1/2017,21056
11/2/2017,22040
11/3/2017,20749
11/4/2017,23653
11/5/2017,15005
11/6/2017,16980
11/7/2017,24220
11/8/2017,21261
11/9/2017,19111
11/10/2017,23367
11/11/2017,18178
11/12/2017,16072
11/13/2017,16532
11/14/2017,18786
11/15/2017,21696
11/16/2017,22397
11/17/2017,21023
11/18/2017,20267
11/19/2017,18336
11/20/2017,20334
11/21/2017,18427
11/22/2017,21660
11/23/2017,21303
11/24/2017,23168
11/25/2017,23803
11/26/2017,19878
11/27/2017,22763
11/28/2017,20690
11/29/2017,22704
11/30/2017,17621
12/1/2017,20472
12/2/2017,17078
12/3/2017,17539
12/4/2017,20182
12/5/2017,26773
12/6/2017,20795
12/7/2017,17795
12/8/2017,15642
12/9/2017,15991
12/10/2017,16779
12/11/2017,18670
12/12/2017,19909
12/13/2017,21133
12/14/2017,17654
12/15/2017,17991
12/16/2017,12351
12/17/2017,12168
12/18/2017,15597
12/19/2017,15015
12/20/2017,13441
12/21/2017,15059
12/22/2017,16329
12/23/2017,15641
12/24/2017,13232
12/25/2017,15591
12/26/2017,17175
12/27/2017,15709
12/28/2017,16859
12/29/2017,17809
12/30/2017,17340
12/31/2017,16417
1/1/2018,15766
1/2/2018,20026
1/3/2018,18783
1/4/2018,21032
1/5/2018,19525
1/6/2018,19427
1/7/2018,20428
1/8/2018,8041
1/9/2018,24192
1/10/2018,25715
1/11/2018,22029
1/12/2018,20352
1/13/2018,19098
1/14/2018,20603
1/15/2018,24552
1/16/2018,24678
1/17/2018,23671
1/18/2018,20980
1/19/2018,14776
1/20/2018,20334
1/21/2018,25700
1/22/2018,31778
1/23/2018,23289
1/24/2018,24026
1/25/2018,19995
1/26/2018,18376
1/27/2018,16311
1/28/2018,19854
1/29/2018,27029
1/30/2018,25156
1/31/2018,24375
2/1/2018,27648
2/2/2018,27240
2/3/2018,23291
2/4/2018,20690
2/5/2018,19944
2/6/2018,25671
2/7/2018,27259
2/8/2018,36694
2/9/2018,30593
2/10/2018,28917
2/11/2018,32759
2/12/2018,33918
2/13/2018,22321
2/14/2018,22594
2/15/2018,23780
2/16/2018,28104
2/17/2018,25693
2/18/2018,20198
2/19/2018,20588
2/20/2018,20527
2/21/2018,19990
2/22/2018,18182
2/23/2018,19705
2/24/2018,16638
2/25/2018,17403
2/26/2018,18244
2/27/2018,19739
2/28/2018,21019
3/1/2018,18033
3/2/2018,19374
3/3/2018,
3/4/2018,
3/5/2018,
3/6/2018,
3/7/2018,
3/8/2018,
3/9/2018,
3/10/2018,
3/11/2018,
3/12/2018,
3/13/2018,
3/14/2018,
3/15/2018,
3/16/2018,
3/17/2018,
3/18/2018,
3/19/2018,
3/20/2018,
3/21/2018,
3/22/2018,
3/23/2018,
3/24/2018,
3/25/2018,
3/26/2018,
3/27/2018,
3/28/2018,
3/29/2018,
3/30/2018,
3/31/2018,
4/1/2018,
4/2/2018,
4/3/2018,
4/4/2018,
4/5/2018,
4/6/2018,
4/7/2018,25319
4/8/2018,21190
4/9/2018,25309
4/10/2018,25856
4/11/2018,25379
4/12/2018,24696
4/13/2018,22292
4/14/2018,17926
4/15/2018,17958
4/16/2018,22923
4/17/2018,22251
4/18/2018,20823
4/19/2018,21853
4/20/2018,22322
4/21/2018,26416
4/22/2018,24244
4/23/2018,32778
4/24/2018,39034
4/25/2018,32277
4/26/2018,28012
4/27/2018,23927
4/28/2018,20707
4/29/2018,22899
4/30/2018,21235
5/1/2018,22345
5/2/2018,22845
5/3/2018,21888
5/4/2018,21845
5/5/2018,26531
5/6/2018,21560
5/7/2018,20120
5/8/2018,18752
5/9/2018,17990
5/10/2018,18843
5/11/2018,19660
5/12/2018,17229
5/13/2018,17133
5/14/2018,19389
5/15/2018,21123
5/16/2018,19781
5/17/2018,20770
5/18/2018,20202
5/19/2018,17247
5/20/2018,18448
5/21/2018,19802
5/22/2018,18017
5/23/2018,19611
5/24/2018,17732
5/25/2018,18032
5/26/2018,15775
5/27/2018,17270
5/28/2018,17979
5/29/2018,19227
5/30/2018,19800
5/31/2018,18928
6/1/2018,18471
6/2/2018,16847
6/3/2018,16966
6/4/2018,18883
6/5/2018,20020
6/6/2018,19892
6/7/2018,19638
6/8/2018,20170
6/9/2018,17827
6/10/2018,16908
6/11/2018,19136
6/12/2018,21896
6/13/2018,20671
6/14/2018,21647
6/15/2018,24881
6/16/2018,19807
6/17/2018,17825
6/18/2018,21717
6/19/2018,21319
6/20/2018,19476
6/21/2018,17273
6/22/2018,17600
6/23/2018,14447
6/24/2018,13835
6/25/2018,16615
6/26/2018,17436
6/27/2018,17438
6/28/2018,16486
6/29/2018,15426
6/30/2018,13673
7/1/2018,12296
7/2/2018,13269
7/3/2018,15575
7/4/2018,16054
7/5/2018,14007
7/6/2018,15834
7/7/2018,14029
7/8/2018,12901
7/9/2018,14276
7/10/2018,16919
7/11/2018,15593
7/12/2018,13922
7/13/2018,12627
7/14/2018,10603
7/15/2018,13146
7/16/2018,12769
7/17/2018,14974
7/18/2018,13865
7/19/2018,13918
7/20/2018,14646
7/21/2018,12959
7/22/2018,11419
7/23/2018,12976
7/24/2018,14679
7/25/2018,14514
7/26/2018,14076
7/27/2018,11581
7/28/2018,9653
7/29/2018,9679
7/30/2018,12101
7/31/2018,13385
8/1/2018,12869
8/2/2018,11583
8/3/2018,12600
8/4/2018,10888
8/5/2018,10429
8/6/2018,11947
8/7/2018,12577
8/8/2018,11572
8/9/2018,11100
8/10/2018,10534
8/11/2018,9562
8/12/2018,8468
8/13/2018,10911
8/14/2018,11625
8/15/2018,11032
8/16/2018,10612
8/17/2018,10852
8/18/2018,9317
8/19/2018,8761
8/20/2018,10237
8/21/2018,10286
8/22/2018,9174
8/23/2018,9521
8/24/2018,10679
8/25/2018,10429
8/26/2018,9649
8/27/2018,11115
8/28/2018,12131
8/29/2018,13346
8/30/2018,14935
8/31/2018,15383
9/1/2018,10518
9/2/2018,11483
9/3/2018,13320
9/4/2018,13959
9/5/2018,13310
9/6/2018,12656
9/7/2018,11959
9/8/2018,11787
9/9/2018,13013
9/10/2018,14458
9/11/2018,13455
9/12/2018,12563
9/13/2018,13371
9/14/2018,12846
9/15/2018,10321
9/16/2018,10279
9/17/2018,11921
9/18/2018,13557
9/19/2018,12245
9/20/2018,11252
9/21/2018,11849
9/22/2018,10075
9/23/2018,9221
9/24/2018,11121
9/25/2018,10803
9/26/2018,12399
9/27/2018,12058
9/28/2018,10250
9/29/2018,10778
9/30/2018,9840
10/1/2018,11229
10/2/2018,12271
10/3/2018,12321
10/4/2018,12111
10/5/2018,14693
10/6/2018,10697
10/7/2018,8532
10/8/2018,10710
10/9/2018,10318
10/10/2018,10689
10/11/2018,11221
10/12/2018,10146
10/13/2018,8838
10/14/2018,8516
10/15/2018,14303
10/16/2018,14178
10/17/2018,10744
10/18/2018,12042
10/19/2018,9661
10/20/2018,8751
10/21/2018,7883
10/22/2018,9928
10/23/2018,11280
10/24/2018,12042
10/25/2018,10803
10/26/2018,9886
10/27/2018,8654
10/28/2018,8425
10/29/2018,10624
10/30/2018,8707
10/31/2018,8468
11/1/2018,7678
11/2/2018,7999
11/3/2018,6256
11/4/2018,7597
11/5/2018,7488
11/6/2018,7415
11/7/2018,7949
11/8/2018,8729
11/9/2018,8879
11/10/2018,8780
11/11/2018,7069
11/12/2018,10383
11/13/2018,7892
11/14/2018,9446
11/15/2018,7922
11/16/2018,6018
11/17/2018,5891
11/18/2018,4941
11/19/2018,6800
11/20/2018,6639
11/21/2018,6214
11/22/2018,5709
11/23/2018,5971
11/24/2018,5387
11/25/2018,5090
11/26/2018,6607
11/27/2018,6232
11/28/2018,6651
11/29/2018,6296
11/30/2018,5172
12/1/2018,5182
12/2/2018,4054
12/3/2018,5647
12/4/2018,5846
12/5/2018,6799
12/6/2018,
12/7/2018,7960
12/8/2018,6119
12/9/2018,5542
12/10/2018,5193
12/11/2018,5051
12/12/2018,5114
12/13/2018,5936
12/14/2018,5193
12/15/2018,4054
12/16/2018,4175
12/17/2018,5563
12/18/2018,5622
12/19/2018,6555
12/20/2018,7404
12/21/2018,6817
12/22/2018,5356
12/23/2018,5561
12/24/2018,5624
12/25/2018,5484
12/26/2018,5472
12/27/2018,6689
12/28/2018,5983
12/29/2018,6636
12/30/2018,5866
12/31/2018,4953
1/1/2019,4259
1/2/2019,5770
1/3/2019,5651
1/4/2019,5716
1/5/2019,5306
1/6/2019,4943
1/7/2019,6101
1/8/2019,6291
1/9/2019,5529
1/10/2019,6232
1/11/2019,5170
1/12/2019,4277
1/13/2019,4805
1/14/2019,6104
1/15/2019,6858
1/16/2019,6989
1/17/2019,5989
1/18/2019,5142
1/19/2019,5088
1/20/2019,4623
1/21/2019,4532
1/22/2019,4875
1/23/2019,5182
1/24/2019,5977
1/25/2019,5519
1/26/2019,5476
1/27/2019,4601
1/28/2019,7092
1/29/2019,6104
1/30/2019,6534
1/31/2019,6358
2/1/2019,4182
2/2/2019,4623
2/3/2019,5250
2/4/2019,5596
2/5/2019,4877
2/6/2019,4763
2/7/2019,4724
2/8/2019,4644
2/9/2019,4551
2/10/2019,3650
2/11/2019,4699
2/12/2019,4456
2/13/2019,4972
2/14/2019,4997
2/15/2019,4579
2/16/2019,4190
2/17/2019,4412
2/18/2019,6086
2/19/2019,5261
2/20/2019,4891
2/21/2019,4536
2/22/2019,4460
2/23/2019,4337
2/24/2019,4832
2/25/2019,4930
2/26/2019,5000
2/27/2019,4974
2/28/2019,5382
3/1/2019,5025
3/2/2019,4409
3/3/2019,4186
3/4/2019,4843
3/5/2019,5141
3/6/2019,4923
3/7/2019,4484
3/8/2019,4431
3/9/2019,3751
3/10/2019,3626
3/11/2019,4751
3/12/2019,5027
3/13/2019,4509
3/14/2019,4392
3/15/2019,3875
3/16/2019,3520
3/17/2019,3346
3/18/2019,4349
3/19/2019,3994
3/20/2019,4495
3/21/2019,3953
3/22/2019,3844
3/23/2019,3887
3/24/2019,4063
3/25/2019,4249
3/26/2019,4494
3/27/2019,5019
3/28/2019,5239
3/29/2019,4597
3/30/2019,4592
3/31/2019,4025
4/1/2019,4524
4/2/2019,5067
4/3/2019,5145
4/4/2019,4443
4/5/2019,4036
4/6/2019,4592
4/7/2019,5369
4/8/2019,5941
4/9/2019,4382
4/10/2019,4450
4/11/2019,4765
4/12/2019,4508
4/13/2019,4030
4/14/2019,4302
4/15/2019,4433
4/16/2019,4830
4/17/2019,5906
4/18/2019,5855
4/19/2019,5033
4/20/2019,4939
4/21/2019,5636
4/22/2019,5821
4/23/2019,6310
4/24/2019,6588
4/25/2019,5783
4/26/2019,4559
4/27/2019,4344
4/28/2019,4347
4/29/2019,4426
4/30/2019,5642
5/1/2019,4946
5/2/2019,4366
5/3/2019,4840
5/4/2019,4598
5/5/2019,3989
5/6/2019,4825
5/7/2019,5495
5/8/2019,4816
5/9/2019,3830
5/10/2019,4272
5/11/2019,5644
5/12/2019,4824
5/13/2019,5181
5/14/2019,6042
5/15/2019,6138
5/16/2019,6416
5/17/2019,5501
5/18/2019,4450
5/19/2019,4568
5/20/2019,5212
5/21/2019,5154
5/22/2019,4842
5/23/2019,4888
5/24/2019,7457
5/25/2019,7118
5/26/2019,6179
5/27/2019,6215
5/28/2019,6006
5/29/2019,5514
5/30/2019,6116
5/31/2019,5013
6/1/2019,4189
6/2/2019,3724
6/3/2019,5160
6/4/2019,5116
6/5/2019,4563
6/6/2019,4234
6/7/2019,3814
6/8/2019,3583
6/9/2019,4142
6/10/2019,4615
6/11/2019,4973
6/12/2019,7642
6/13/2019,9811
6/14/2019,8100
6/15/2019,6299
6/16/2019,8700
6/17/2019,9308
6/18/2019,7346
6/19/2019,6837
6/20/2019,6487
6/21/2019,6497
6/22/2019,5988
6/23/2019,4915
